step,reward_mean,reward_extrinsic_mean,reward_intrinsic_mean,success_rate,value_loss,policy_loss,entropy_loss,loss_moving_avg,icm_inv_loss,icm_fwd_loss,reward_breakdown
8192,1.4111111111111112,1.4111111111111112,0.0,1.0,nan,nan,nan,nan,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.0, 'collect_iron': 0.0, 'collect_sapling': 0.8181818181818182, 'collect_stone': 0.0, 'collect_wood': 0.2727272727272727, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.7272727272727273, 'place_stone': 0.0, 'place_table': 0.0, 'wake_up': 2.272727272727273}"
16384,1.5175824175824175,1.5175824175824175,0.0,1.0,0.07050864990160335,nan,-2.813439735211432,0.07050864990160335,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.2727272727272727, 'collect_iron': 0.0, 'collect_sapling': 0.8636363636363636, 'collect_stone': 0.0, 'collect_wood': 0.4090909090909091, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.7727272727272727, 'place_stone': 0.0, 'place_table': 0.045454545454545456, 'wake_up': 2.3636363636363638}"
24576,1.56,1.56,0.0,1.0,0.06274445638409816,nan,-2.7265123503282664,0.06274445638409816,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.4411764705882353, 'collect_iron': 0.0, 'collect_sapling': 0.9411764705882353, 'collect_stone': 0.0, 'collect_wood': 0.29411764705882354, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.7941176470588235, 'place_stone': 0.0, 'place_table': 0.029411764705882353, 'wake_up': 2.2058823529411766}"
32768,1.5799999999999996,1.5799999999999996,0.0,1.0,0.054709715810167835,nan,-2.6678853314369917,0.054709715810167835,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.5652173913043478, 'collect_iron': 0.0, 'collect_sapling': 0.8913043478260869, 'collect_stone': 0.0, 'collect_wood': 0.30434782608695654, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.782608695652174, 'place_stone': 0.0, 'place_table': 0.043478260869565216, 'wake_up': 2.130434782608696}"
40960,1.92,1.92,0.0,1.0,0.053867774661193836,nan,-2.6449211653321982,0.053867774661193836,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.8245614035087719, 'collect_iron': 0.0, 'collect_sapling': 0.8771929824561403, 'collect_stone': 0.0, 'collect_wood': 0.40350877192982454, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.7543859649122807, 'place_stone': 0.0, 'place_table': 0.03508771929824561, 'wake_up': 2.1403508771929824}"
49152,2.29,2.29,0.0,1.0,0.06137298386238399,nan,-2.6247271263971923,0.06137298386238399,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.9, 'collect_iron': 0.0, 'collect_sapling': 0.8857142857142857, 'collect_stone': 0.0, 'collect_wood': 0.5, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.7428571428571429, 'place_stone': 0.0, 'place_table': 0.05714285714285714, 'wake_up': 2.0285714285714285}"
57344,2.41,2.41,0.0,1.0,0.06652497526883963,nan,-2.583527979068458,0.06652497526883963,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 1.4197530864197532, 'collect_iron': 0.0, 'collect_sapling': 1.037037037037037, 'collect_stone': 0.0, 'collect_wood': 0.49382716049382713, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.024691358024691357, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.8641975308641975, 'place_stone': 0.0, 'place_table': 0.04938271604938271, 'wake_up': 1.9876543209876543}"
65536,2.53,2.53,0.0,1.0,0.06580036106679472,nan,-2.589690994657576,0.06580036106679472,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 1.8709677419354838, 'collect_iron': 0.0, 'collect_sapling': 1.032258064516129, 'collect_stone': 0.0, 'collect_wood': 0.5913978494623656, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.021505376344086023, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.8817204301075269, 'place_stone': 0.0, 'place_table': 0.053763440860215055, 'wake_up': 1.989247311827957}"
73728,2.7300000000000013,2.7300000000000013,0.0,1.0,0.05812363478762563,nan,-2.5334647484123707,0.05812363478762563,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 2.05, 'collect_iron': 0.0, 'collect_sapling': 1.04, 'collect_stone': 0.0, 'collect_wood': 0.68, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.02, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.9, 'place_stone': 0.0, 'place_table': 0.07, 'wake_up': 1.98}"
81920,2.5500000000000003,2.5500000000000003,0.0,1.0,0.05602475532723474,nan,-2.5220206011086703,0.05602475532723474,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 2.13, 'collect_iron': 0.0, 'collect_sapling': 1.1, 'collect_stone': 0.0, 'collect_wood': 0.75, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.02, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.95, 'place_stone': 0.0, 'place_table': 0.1, 'wake_up': 1.99}"
