step,reward_mean,reward_extrinsic_mean,reward_intrinsic_mean,success_rate,value_loss,policy_loss,entropy_loss,loss_moving_avg,icm_inv_loss,icm_fwd_loss,reward_breakdown
8192,54.34214211111111,-0.2577777777777777,5.791211795806885,1.0,nan,nan,nan,nan,2.8309004306793213,0.0005461503751575947,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.08333333333333333, 'collect_iron': 0.0, 'collect_sapling': 0.8333333333333334, 'collect_stone': 0.0, 'collect_wood': 0.16666666666666666, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.6666666666666666, 'place_stone': 0.0, 'place_table': 0.0, 'wake_up': 2.1666666666666665}"
16384,29.415871560439566,-0.2560439560439561,2.863786052871536,0.9583333333333334,0.7368790007720236,nan,-2.824625644274056,0.7368790007720236,2.832932472229004,0.0002507626195438206,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.041666666666666664, 'collect_iron': 0.0, 'collect_sapling': 0.75, 'collect_stone': 0.0, 'collect_wood': 0.2916666666666667, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.5833333333333334, 'place_stone': 0.0, 'place_table': 0.041666666666666664, 'wake_up': 2.25}"
24576,9.050326459999997,-0.25800000000000006,0.6368084573745727,0.9722222222222222,0.3627468934515491,nan,-2.8141904966905713,0.3627468934515491,2.834000587463379,5.908097591600381e-05,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.19444444444444445, 'collect_iron': 0.0, 'collect_sapling': 0.8333333333333334, 'collect_stone': 0.0, 'collect_wood': 0.3055555555555556, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.6944444444444444, 'place_stone': 0.0, 'place_table': 0.08333333333333333, 'wake_up': 2.25}"
32768,1.99,-0.252,0.0,0.9791666666666666,0.28453034270205535,nan,-2.7978877756744622,0.28453034270205535,2.830599069595337,1.825235813157633e-05,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.20833333333333334, 'collect_iron': 0.0, 'collect_sapling': 0.7708333333333334, 'collect_stone': 0.0, 'collect_wood': 0.3333333333333333, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.6666666666666666, 'place_stone': 0.0, 'place_table': 0.08333333333333333, 'wake_up': 2.3333333333333335}"
40960,2.15,-0.247,0.0,0.9836065573770492,0.18956638976815157,nan,-2.7816128592938183,0.18956638976815157,2.83009672164917,0.000183553303941153,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.19672131147540983, 'collect_iron': 0.0, 'collect_sapling': 0.8688524590163934, 'collect_stone': 0.0, 'collect_wood': 0.36065573770491804, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.01639344262295082, 'place_furnace': 0.0, 'place_plant': 0.7868852459016393, 'place_stone': 0.0, 'place_table': 0.08196721311475409, 'wake_up': 2.262295081967213}"
49152,2.05,-0.25500000000000006,0.0,0.9864864864864865,0.16293587424443104,nan,-2.7643054647371175,0.16293587424443104,2.8258156776428223,0.0004373870324343443,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.16216216216216217, 'collect_iron': 0.0, 'collect_sapling': 0.8783783783783784, 'collect_stone': 0.0, 'collect_wood': 0.3918918918918919, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.02702702702702703, 'place_furnace': 0.0, 'place_plant': 0.7972972972972973, 'place_stone': 0.0, 'place_table': 0.10810810810810811, 'wake_up': 2.22972972972973}"
57344,1.95,-0.247,0.0,0.9882352941176471,0.13109698041225784,nan,-2.7422980323433874,0.13109698041225784,2.8163604736328125,0.001184159191325307,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.17647058823529413, 'collect_iron': 0.0, 'collect_sapling': 0.8941176470588236, 'collect_stone': 0.0, 'collect_wood': 0.35294117647058826, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.011764705882352941, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.023529411764705882, 'place_furnace': 0.0, 'place_plant': 0.8, 'place_stone': 0.0, 'place_table': 0.09411764705882353, 'wake_up': 2.2823529411764705}"
65536,2.04,-0.23799999999999996,0.0,0.9895833333333334,0.10947981538192834,nan,-2.7303666515275835,0.10947981538192834,2.8101861476898193,0.008437814190983772,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.3125, 'collect_iron': 0.0, 'collect_sapling': 0.875, 'collect_stone': 0.0, 'collect_wood': 0.3645833333333333, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.010416666666666666, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.020833333333333332, 'place_furnace': 0.0, 'place_plant': 0.78125, 'place_stone': 0.0, 'place_table': 0.09375, 'wake_up': 2.3229166666666665}"
73728,2.1,-0.24800000000000005,0.0,0.99,0.11585710455256049,nan,-2.7025165293365716,0.11585710455256049,2.8144118785858154,0.01600269414484501,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.47, 'collect_iron': 0.0, 'collect_sapling': 0.93, 'collect_stone': 0.0, 'collect_wood': 0.43, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.01, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.02, 'place_furnace': 0.0, 'place_plant': 0.86, 'place_stone': 0.0, 'place_table': 0.12, 'wake_up': 2.36}"
81920,2.3,-0.27000000000000013,0.0,1.0,0.1056298842348042,nan,-2.6844342106953265,0.1056298842348042,2.811973810195923,0.01542299147695303,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.6, 'collect_iron': 0.0, 'collect_sapling': 1.0, 'collect_stone': 0.0, 'collect_wood': 0.45, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.01, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.02, 'place_furnace': 0.0, 'place_plant': 0.91, 'place_stone': 0.0, 'place_table': 0.13, 'wake_up': 2.39}"
