step,reward_mean,reward_extrinsic_mean,reward_intrinsic_mean,success_rate,value_loss,policy_loss,entropy_loss,loss_moving_avg,icm_inv_loss,icm_fwd_loss,reward_breakdown
8192,1.5090909090909088,1.5090909090909088,0.0,1.0,nan,nan,nan,nan,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.0, 'collect_iron': 0.0, 'collect_sapling': 0.7272727272727273, 'collect_stone': 0.0, 'collect_wood': 0.36363636363636365, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.6363636363636364, 'place_stone': 0.0, 'place_table': 0.09090909090909091, 'wake_up': 2.4545454545454546}"
16384,1.6384615384615384,1.6384615384615384,0.0,1.0,0.09574508827354293,nan,-2.824704593792558,0.09574508827354293,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.0, 'collect_iron': 0.0, 'collect_sapling': 0.7391304347826086, 'collect_stone': 0.0, 'collect_wood': 0.4782608695652174, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.6956521739130435, 'place_stone': 0.0, 'place_table': 0.08695652173913043, 'wake_up': 2.260869565217391}"
24576,1.6,1.6,0.0,1.0,0.0921054189777351,nan,-2.809524908475578,0.0921054189777351,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.11764705882352941, 'collect_iron': 0.0, 'collect_sapling': 0.7941176470588235, 'collect_stone': 0.0, 'collect_wood': 0.38235294117647056, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.7352941176470589, 'place_stone': 0.0, 'place_table': 0.08823529411764706, 'wake_up': 2.3529411764705883}"
32768,1.67,1.67,0.0,1.0,0.0968714289701893,nan,-2.7938676476478577,0.0968714289701893,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.37777777777777777, 'collect_iron': 0.0, 'collect_sapling': 0.8, 'collect_stone': 0.0, 'collect_wood': 0.3111111111111111, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.7555555555555555, 'place_stone': 0.0, 'place_table': 0.06666666666666667, 'wake_up': 2.3555555555555556}"
40960,1.88,1.88,0.0,1.0,0.10485414435679559,nan,-2.777741907350719,0.10485414435679559,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.4107142857142857, 'collect_iron': 0.0, 'collect_sapling': 0.9464285714285714, 'collect_stone': 0.0, 'collect_wood': 0.25, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.875, 'place_stone': 0.0, 'place_table': 0.05357142857142857, 'wake_up': 2.375}"
49152,1.93,1.93,0.0,1.0,0.10587029613379854,nan,-2.756086768396199,0.10587029613379854,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 0.7941176470588235, 'collect_iron': 0.0, 'collect_sapling': 0.9705882352941176, 'collect_stone': 0.0, 'collect_wood': 0.20588235294117646, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.8970588235294118, 'place_stone': 0.0, 'place_table': 0.04411764705882353, 'wake_up': 2.338235294117647}"
57344,2.08,2.08,0.0,1.0,0.10232618523587007,nan,-2.7405489036813377,0.10232618523587007,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 1.139240506329114, 'collect_iron': 0.0, 'collect_sapling': 0.9240506329113924, 'collect_stone': 0.0, 'collect_wood': 0.24050632911392406, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.8607594936708861, 'place_stone': 0.0, 'place_table': 0.05063291139240506, 'wake_up': 2.3037974683544302}"
65536,2.25,2.25,0.0,1.0,0.1218591226497665,nan,-2.711027151718736,0.1218591226497665,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 1.5384615384615385, 'collect_iron': 0.0, 'collect_sapling': 0.9560439560439561, 'collect_stone': 0.0, 'collect_wood': 0.2087912087912088, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.8901098901098901, 'place_stone': 0.0, 'place_table': 0.04395604395604396, 'wake_up': 2.230769230769231}"
73728,2.38,2.38,0.0,1.0,0.1162156709615374,nan,-2.6855861051008105,0.1162156709615374,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 1.92, 'collect_iron': 0.0, 'collect_sapling': 0.94, 'collect_stone': 0.0, 'collect_wood': 0.24, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.87, 'place_stone': 0.0, 'place_table': 0.05, 'wake_up': 2.25}"
81920,2.41,2.41,0.0,0.99,0.12142860061430838,nan,-2.6618145667016506,0.12142860061430838,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 2.46, 'collect_iron': 0.0, 'collect_sapling': 0.91, 'collect_stone': 0.0, 'collect_wood': 0.25, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.85, 'place_stone': 0.0, 'place_table': 0.05, 'wake_up': 2.2}"
90112,2.51,2.51,0.0,0.99,0.1296232634340413,nan,-2.642751132324338,0.1296232634340413,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 3.09, 'collect_iron': 0.0, 'collect_sapling': 1.03, 'collect_stone': 0.0, 'collect_wood': 0.21, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 0.96, 'place_stone': 0.0, 'place_table': 0.04, 'wake_up': 2.16}"
98304,2.6900000000000013,2.6900000000000013,0.0,0.99,0.11786084904160816,nan,-2.6150911424309013,0.11786084904160816,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 3.74, 'collect_iron': 0.0, 'collect_sapling': 1.08, 'collect_stone': 0.0, 'collect_wood': 0.23, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 1.0, 'place_stone': 0.0, 'place_table': 0.04, 'wake_up': 2.12}"
106496,2.8800000000000012,2.8800000000000012,0.0,0.99,0.12149930948944529,nan,-2.5788450649008157,0.12149930948944529,nan,nan,"{'collect_coal': 0.0, 'collect_diamond': 0.0, 'collect_drink': 4.33, 'collect_iron': 0.0, 'collect_sapling': 1.14, 'collect_stone': 0.0, 'collect_wood': 0.28, 'defeat_skeleton': 0.0, 'defeat_zombie': 0.0, 'eat_cow': 0.0, 'eat_plant': 0.0, 'make_iron_pickaxe': 0.0, 'make_iron_sword': 0.0, 'make_stone_pickaxe': 0.0, 'make_stone_sword': 0.0, 'make_wood_pickaxe': 0.0, 'make_wood_sword': 0.0, 'place_furnace': 0.0, 'place_plant': 1.04, 'place_stone': 0.0, 'place_table': 0.05, 'wake_up': 2.06}"
